ID,Name
333,"52nd Squadron"
334,"59th Squadron"
335,"60th Squadron"
336,"65th Squadron"
337,"70th Squadron"
338,"79 Squadron"
339,"7th"
342,"80th Squadron"
344,"2/8th Battalion"
346,"1st Life Guards"
347,"2nd Life Guards"
348,"Royal Horse Guards (The Blues)"
349,"Household Battalion"
350,"1st (King's) Dragoon Guards"
351,"2nd Dragoon Guards (Queen's Bays)"
352,"3rd (Prince of Wales's) Dragoon Guards"
353,"4th (Royal Irish) Dragoon Guards"
354,"5th (Princess Charlotte of Wales) Dragoon Guards"
355,"6th Dragoon Guards (Carabiniers)"
356,"7th (Princess Royal's) Dragoon Guards"
357,"1st (Royal) Dragoons"
358,"2nd Dragoons (Royal Scots Greys)"
359,"3rd (King's Own) Hussars"
360,"4th (Queen's Own) Hussars"
361,"5th (Royal Irish) Lancers"
362,"6th (Inniskilling) Dragoons"
363,"7th (Queen's Own) Hussars"
364,"8th (King's Royal Irish) Hussars"
365,"9th (Queen's Royal) Lancers"
366,"10th (Prince of Wales's Own Royal) Hussars"
367,"11th (Prince Albert's Own) Hussars"
368,"12th (Prince of Wales's Royal) Lancers"
369,"13th Hussars"
370,"14th (King's) Hussars"
371,"15th (The King's) Hussars"
372,"16th (The Queen's) Lancers"
373,"17th (Duke of Cambridge's Own) Lancers"
374,"18th (Queen Mary's Own) Hussars"
375,"19th (Queen Alexandra's Own Royal) Hussars"
376,"20th Hussars"
377,"21st (Empress of India's) Lancers"
378,"Reserve Regiment of 1st Life Guards"
379,"Reserve Regiment of 2nd Life Guards"
380,"1st Reserve Regiment of Cavalry"
381,"2nd Reserve Regiment of Cavalry"
382,"3rd Reserve Regiment of Cavalry"
383,"4th Reserve Regiment of Cavalry"
384,"5th Reserve Regiment of Cavalry"
385,"6th Reserve Regiment of Cavalry"
386,"Remount Service"
387,"North Irish Horse"
388,"South Irish Horse"
389,"King Edward's Horse (The King's Oversea Dominions Regiment)"
390,"1st King Edward's Horse (The King's Oversea Dominions Regiment)"
391,"2nd King Edward's Horse (The King's Oversea Dominions Regiment)"
393,"1st Battalion (Guernsey)"
394,"2nd Battalion (Guernsey)"
395,"Battalion Not Shown (Guernsey)"
396,"Battalion Not Shown (Jersey)"
397,"2nd Battalion (Jersey)"
398,"Ayrshire Yeomanry"
399,"Bedfordshire Yeomanry"
400,"Berks Yeomanry"
401,"Buckinghamshire Yeomanry"
402,"Cheshire Yeomanry"
403,"Denbighshire Yeomanry"
404,"Derbyshire Yeomanry"
405,"Royal 1st Devon Yeomanry"
406,"Royal North Devon Yeomanry"
407,"Dorset Yeomanry"
408,"Essex Yeomanry"
409,"Fife and Forfar Yeomanry"
410,"Glamorgan Yeomanry"
411,"Queen's Own Royal Glasgow Yeomanry"
412,"Gloucestershire Yeomanry"
413,"Hampshire Yeomanry"
414,"Herts Yeomanry"
415,"Royal East Kent Yeomanry"
416,"West Kent Yeomanry"
417,"Lanarkshire Yeomanry"
418,"Lancashire Hussars Yeomanry"
419,"Duke of Lancaster's Own Yeomanry"
420,"Leicestershire Yeomanry"
421,"Lincolnshire Yeomanry"
422,"City of London Yeomanry"
423,"1st County of London Yeomanry"
424,"2nd County of London Yeomanry"
425,"3rd County of London Yeomanry"
426,"Lothians and Border Horse Yeomanry"
427,"1st Lovat's Scouts"
