ID,Name
605,"4/8th (T.F.) Battalion."
606,"3/9th (T.F.) Battalion."
607,"1/10th (T.F.) Battalion."
608,"2/10th Battalion."
609,"3/10th (T.F.) Battalion."
610,"4/10th (T.F.) Battalion."
611,"33rd (Works) Battalion."
612,"53rd (Grad.) Battalion."
613,"1st I.L. Company."
614,"2nd I.L. Company."
615,"3rd I.L. Company."
616,"4th I.L. Company."
794,"Mounted Branch."
795,"Foot Branch."
798,"2nd Battalion (King's Shropshire Light Infantry)."
799,"1/4th Battalion (King's Shropshire Light Infantry)."
800,"4th Reserve Battalion (King's Shropshire Light Infantry)."
801,"5th Battalion (King's Shropshire Light Infantry)."
802,"6th Battalion (King's Shropshire Light Infantry)."
803,"7th Battalion (King's Shropshire Light Infantry)."
804,"2/1st Kent Cyclist Battalion."
805,"3/1st Kent Cyclist Battalion."
806,"(Cavalry)."
807," "
808,"1/5th Battalion-Territorial."
809,"5th (Reserve) Battalion-Territorial."
810,"1/6th Battalion-Territorial."
811,"1/8th Territorial Battalion."
812,"81st Provisional Battalion."
813,"158 (T.F.) Depot."
815,"1/5th Battalion (T.F.)."
816,"14th (County of London) Battalion (London Scottish)."
817,"18th (County of London) Battalion (London Irish Rifles)."
1,"Household Cavalry. 1st Life Guards."
2,"Household Cavalry 2nd Life Guards."
3,"Household Cavalry. Royal Horse Guards (The Blues)."
4,"Household Battalion."
5,"Corps of Dragoons. 1st King's Dragoon Guards."
6,"2nd Dragoon Guards (Queen's Bays)."
7,"3rd Dragoon Guards (Prince of Wales' Own)."
8,"4th Dragoon Guards (Royal Irish)."
9,"5th Dragoon Guards (Princess Charlottte's Own)."
10,"6th Dragoon Guards (Carabineers)."
11,"7th Dragoon Guards (Princess Royal)."
12,"1st Dragoons (Royals)."
13,"2nd Dragoons (Scots Greys)."
14,"6th Dragoons (Inniskilling)."
15,"Corps of Lancers. 5th Lancers (Royal Irish)."
16,"9th Lancers (Queen's Royal)."
17,"12th Lancers (Prince of Wales Royal)."
18,"16th Lancers (The Queen's)."
19,"17th Lancers (Duke of Cambridge's Own)."
20,"21st Lancers (Empress of India's)."
21,"Special Cavalry Reserve. 1st King Edward's Horse."
22,"2nd King Edward's Horse."
23,"Corps of Dragoons. 4th Reserve Reglment Dragoons."
24,"Old 1st Reserve Cavalry Regiment (1st and 5th Dragoons Guards)."
25,"Old 2nd Reserve Cavalry Regiment (2nd Dragoon Guards and 6th Dragoons)."
26,"Old 3rd Reserve Cavalry Regiment (3rd and 6th Dragoon Guards)."
27,"Old 4th Reserve Cavalry Regiment (4th and 7th Dragoon Guards)."
28,"Old 5th Reserve Cavalry Regiment (1st and 2nd Dragoons)."
29,"6th Reserve Regiment of Dragoons."
30,"Corps of Lancers. 1st Reserve Regiment of Lancers."
31,"(Old) 6th Reserve Cavalry Regiment (5th and 12th Lancers)."
32,"(Old) 7th Reserve Cavalry Regiment (9th and 21st Lancers)."
33,"(Old) 8th Reserve Cavalry Regiment (16th and 17th Lancers)."
34,"Corps of Dragoons. Shorpshire Yeomanry."
35,"Queen's Own Yorkshire Dragoons."
36,"North Somerset Yeomanry."
37,"Duke of Lancaster's Own Yeomanry."
38,"Hampshire Yeomanry."
39,"Derbyshire Yeomanry."
40,"Herts Yeomanry."
41,"Berkshire Yeomanry."
42,"Montgomery Yeomanry."
43,"Lothian and Border Horse."
44,"Queen's Own Royal Glasgow Yeomanry."
45,"Fife and Forfar Yeomanry."
46,"Norfolk Yeomanry."
47,"Sussex Yeomanry."
48,"Glamorganshire Yeomanry."
49,"2nd County of London."
50,"Essex Yeomanry."
51,"Northants Yeomanry."
52,"Lovat Scouts."
53,"Scottish Horse Yeomanry."
54,"Corps of Lancers. Lanarkshire Yeomanry."
55,"Surrey Yeomanry."
56,"Lincolnshire Yeomanry."
57,"City of London Yeomanry."
58,"Bedford Yeomanry."
59,"East Riding of Yorkshire Yeomanry."
60,"Corps of Hussars. 3rd (King's Own) Hussars."
61,"4th (Queen's Own) Hussars."
62,"7th (Queen's Own) Hussars."
63,"8th (King's Royal Irish) Hussars."
64,"10th (Prince of Wales' Own Royal) Hussars."
65,"11th (Prince Albert's Own) Hussars."
66,"13th Hussars."
67,"14th (King's) Hussars."
68,"15th (The King's) Hussars."
69,"18th (Queen Mary's Own Royal) Hussars."
70,"19th (Queen Alexandra's Own Royal) Hussars."
71,"20th Hussars."
72,"2nd Reserve Regiment of Cavalry."
73,"3rd Reserve Regiment of Cavalry."
74,"5th Reserve Regiment of Cavalry."
75,"No. 2 Cavalry Depot."
76,"No. 3 Cavalry Depot."
77,"No. 5 Cavalry Depot."
78,"North Irish Horse."
79,"South Irish Horse."
80,"Ayrshire (Earl of Carrick's Own) (Hussars) Yeomanry."
81,"the Royal Bucks Hussars."
82,"Denbighshire Hussars."
182,"6th Battalion.Territorial Force Depot."
183,"1/6th Battalion."
184,"2/6th Battalion"
185,"3/6th Battalion."
186,"7th Battalion, Territorial Force Depot."
187,"1/7th Battalion."
188,"1/8th Battalion."
189,"2/8th Battalion."
190,"1/9th Battalion."
191,"2/9th Battalion."
194,"10th Battalion"
195,"2nd (H. S.) Garrison Battalion."
197,"8/9th Battalion."
198,"O.C. Battalion."
199,"1/1st Battalion."
200,"1st Reserve Battalion."
201,"3/1st Battalion."
202,"1st Battalion (King's Shropshire Light Infantry)."
203,"1st West Riding Divisional Cyclist Company."
204,"53rd Weish Divisional Cyclist Company."
205,"54th East Anglian Divisional Cyclist Company."
206,"Northumbrian Divisional Cyclist Company."
207,"South Midland Divisional Cyclist Company."
208,"52nd Lowland Divisional Cyclist Company."
209,"North Midland Divisional Cyclist Company."
210,"47th London Divisional Cyclist Company."
211,"51st Highland Divisional Cyclist Company."
212,"1st Northern Cyclist Battalion."
213,"Highland Cyclist Battalion."
214,"1/1st Kent Cyclist Battalion."
216,"1st Huntingdon (Cyclist) Battalion."
218,"(Territorial Force.)"
220,"2nd Garrison Battalion."
221,"3rd Garrison Battalion."
222,"5th. Battalion."
223,"12th (T.W.) Battalion."
224,"13th (T.W.) Battalion."
226,"3/4th Battalion."
228,"1st Battalion"
230,"1/5 Battalion (T.F.)."
231,"2/5th Battalion"
232,"3/5th (T) Battalion."
233,"6th Res. Battalion."
234,"1/8th Battalion"
236,"1/5 Battalion."
237,"5th Res. Battalion."
238,"7th Res. Battalion."
241,"13th Battalion"
242,"1st (Garrison) Battalion."
243,"2nd (Garrison) Battalion."
244,"3rd (Garrison) Battalion."
245,"233rd Infantry Battalion."
246,"51st Graduated Battalion."
247,"52nd Graduated Battalion."
248,"53rd Graduated Battalion."
249,"Training Reserve."
250,"Labour Companies."
252,"4th (Reserve) Battalion."
253,"12th (Labour) Battalion."
254,"(T.F.) Depot."
257,"21st Reserve Battalion."
258,"1/21st Battalion."
259,"2/21st Battalion."
260,"1/23rd Battalion."
261,"2/23rd Battalion."
262,"70th Provisional Battalion."
263,"the Depot."
265,"5th (Reserve) Battalion."
266,"28th Battalion."
267,"29th Battalion."
269,"3rd Battalion (Reserve)."
270,"4th Battalion (Extra Reserve)."
271,"5th (City of Glasgow) Battalion (Territorial)."
272,"6th (City of Glasgow) Battn. (Territorial)."
273,"7th (Blythswood) Battalion (Territorial)."
274,"8th (Lanark) Battalion (Territorial)."
275,"9th (Glasgow Highland) Battalion (Territorial)."
276,"10th (Service) Battalion."
277,"10/11th Battalion."
278,"11th (Service) Battalion."
279,"12th (Service) Battn."
280,"13th (Reserve) Battalion."
281,"14th (Service) Battalion."
282,"15th (Service) Battalion (1st Glasgow)."
283,"16th (Service) Battalion (2nd Glasgow)."
284,"17th (Service) Battalion (3rd Glasgow)."
285,"18th Battalion (4th Glasgow)."
286,"19th (Reserve) Battalion."
287,"20th (Reserve) Battalion."
288,"21st Battalion (Territorial)."
289,"51st (Grad.) Battalion."
290,"52nd Training Reserve Battalion."
291,"52nd (Grad.) Battalion."
292,"53rd Training Reserve Battalion."
293,"54th Training Reserve Battalion."
294,"56th Training Reserve Battalion."
397,"11th Infantry Works Company."
398,"12th Infantry Works Company."
